Size,RunIndex,Tool,PhaseName,MetricName,Sequence,MetricValue,Scenario,Iteration,CaseName
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,EMFResourceInitialization,Time,1,789663,ToolChainPerformance,1,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,EMFResourceInitialization,Memory,1,51479584,ToolChainPerformance,1,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,Generation,Time,2,87922396982,ToolChainPerformance,1,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,Generation,Memory,2,5259170088,ToolChainPerformance,1,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,Initialization,Time,3,11544202530,ToolChainPerformance,1,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2MTransformation1,Time,4,28974334667,ToolChainPerformance,1,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2MTransformation1,Memory,4,5947745928,ToolChainPerformance,1,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2TTransformation1,Time,5,60317097612,ToolChainPerformance,1,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2TTransformation1,Memory,5,6526798008,ToolChainPerformance,1,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,ChangeMonitorInitialization,Time,6,4475857052,ToolChainPerformance,1,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,ChangeMonitorInitialization,Memory,6,7385069264,ToolChainPerformance,1,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,Modification,Time,7,9051758,ToolChainPerformance,1,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,Modification,Memory,7,7387674208,ToolChainPerformance,1,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2MTransformation2,Time,8,2013,ToolChainPerformance,1,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2MTransformation2,Memory,8,7387674208,ToolChainPerformance,1,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2TTransformation2,Time,9,48469341109,ToolChainPerformance,1,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2TTransformation2,Memory,9,6655305696,ToolChainPerformance,1,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,Modification,Time,10,8741683,ToolChainPerformance,2,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,Modification,Memory,10,6655305696,ToolChainPerformance,2,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2MTransformation2,Time,11,1794,ToolChainPerformance,2,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2MTransformation2,Memory,11,6655305696,ToolChainPerformance,2,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2TTransformation2,Time,12,15219945,ToolChainPerformance,2,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2TTransformation2,Memory,12,6655305696,ToolChainPerformance,2,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,Modification,Time,13,7551148,ToolChainPerformance,3,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,Modification,Memory,13,6655305696,ToolChainPerformance,3,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2MTransformation2,Time,14,1748,ToolChainPerformance,3,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2MTransformation2,Memory,14,6655305696,ToolChainPerformance,3,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2TTransformation2,Time,15,21694098,ToolChainPerformance,3,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2TTransformation2,Memory,15,6666814568,ToolChainPerformance,3,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,Modification,Time,16,7236277,ToolChainPerformance,4,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,Modification,Memory,16,6666814568,ToolChainPerformance,4,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2MTransformation2,Time,17,1796,ToolChainPerformance,4,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2MTransformation2,Memory,17,6666814568,ToolChainPerformance,4,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2TTransformation2,Time,18,28578407,ToolChainPerformance,4,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2TTransformation2,Memory,18,6678323504,ToolChainPerformance,4,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,Modification,Time,19,7424105,ToolChainPerformance,5,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,Modification,Memory,19,6678323504,ToolChainPerformance,5,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2MTransformation2,Time,20,2060,ToolChainPerformance,5,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2MTransformation2,Memory,20,6678323504,ToolChainPerformance,5,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2TTransformation2,Time,21,34153036,ToolChainPerformance,5,StatisticBasedCase
64,2,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,M2TTransformation2,Memory,21,6689993240,ToolChainPerformance,5,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,EMFResourceInitialization,Time,1,223213,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,EMFResourceInitialization,Memory,1,51555344,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Generation,Time,2,96348602872,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Generation,Memory,2,4246535344,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Initialization,Time,3,11022517502,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation1,Time,4,37115542617,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation1,Memory,4,5607208448,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation1,Time,5,42062618154,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation1,Memory,5,6770643568,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,ChangeMonitorInitialization,Time,6,4694537549,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,ChangeMonitorInitialization,Memory,6,6444912080,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Time,7,7462246,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Memory,7,6444912080,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,Time,8,2102,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,Memory,8,6444912080,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation2,Time,9,48067752143,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation2,Memory,9,6928008520,ToolChainPerformance,1,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Time,10,8549854,ToolChainPerformance,2,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Memory,10,6928008520,ToolChainPerformance,2,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,Time,11,2242,ToolChainPerformance,2,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,Memory,11,6928008520,ToolChainPerformance,2,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation2,Time,12,15521785,ToolChainPerformance,2,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation2,Memory,12,6928008520,ToolChainPerformance,2,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Time,13,6509212,ToolChainPerformance,3,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Memory,13,6928008520,ToolChainPerformance,3,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,Time,14,1792,ToolChainPerformance,3,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,Memory,14,6928008520,ToolChainPerformance,3,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation2,Time,15,22478409,ToolChainPerformance,3,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2TTransformation2,Memory,15,6937011744,ToolChainPerformance,3,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Time,16,8079780,ToolChainPerformance,4,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,Modification,Memory,16,6937167600,ToolChainPerformance,4,StatisticBasedCase
64,5,INCR_VIATRA_EXPLICIT_TRACEABILITY-TEMPLATE,M2MTransformation2,Time,17,1897,ToolChainPerformance,4,StatisticBasedCase
