RunIndex,CaseName,MetricValue,Tool,Iteration,MetricName,Sequence,Scenario,Size,PhaseName
2,StatisticBasedCase,226264,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,1,Time,1,ToolChainPerformance,64,EMFResourceInitialization
2,StatisticBasedCase,14992816,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,1,Memory,1,ToolChainPerformance,64,EMFResourceInitialization
2,StatisticBasedCase,94867416161,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,1,Time,2,ToolChainPerformance,64,Generation
2,StatisticBasedCase,3446923744,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,1,Memory,2,ToolChainPerformance,64,Generation
2,StatisticBasedCase,11307705964,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,1,Time,3,ToolChainPerformance,64,Initialization
2,StatisticBasedCase,26607540075,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,1,Time,4,ToolChainPerformance,64,M2MTransformation1
2,StatisticBasedCase,5353457984,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,1,Memory,4,ToolChainPerformance,64,M2MTransformation1
2,StatisticBasedCase,46927569909,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,1,Time,5,ToolChainPerformance,64,M2TTransformation1
2,StatisticBasedCase,6035867480,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,1,Memory,5,ToolChainPerformance,64,M2TTransformation1
2,StatisticBasedCase,4371757194,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,1,Time,6,ToolChainPerformance,64,ChangeMonitorInitialization
2,StatisticBasedCase,6093149944,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,1,Memory,6,ToolChainPerformance,64,ChangeMonitorInitialization
2,StatisticBasedCase,8698836,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,1,Time,7,ToolChainPerformance,64,Modification
2,StatisticBasedCase,6093137208,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,1,Memory,7,ToolChainPerformance,64,Modification
2,StatisticBasedCase,2926,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,1,Time,8,ToolChainPerformance,64,M2MTransformation2
2,StatisticBasedCase,6092684112,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,1,Memory,8,ToolChainPerformance,64,M2MTransformation2
2,StatisticBasedCase,10210589,INCR_VIATRA_EXPLICIT_TRACEABILITY-JDT,1,Time,9,ToolChainPerformance,64,M2TTransformation2
